MOF	o-xylene_comp	m-xylene_comp	p-xylene_comp	o-xylene_mass	o-xylene_error	m-xylene_mass	m-xylene_error	p-xylene_mass	p-xylene_error	total_mass	total_mass_error
UIO-66	0.05	0.8250000000000001	0.12499999999999988	112.0551105805	5.705449875299999	122.7816385684	19.9309147516	15.1298792503	3.9166997107999997	249.96662839919998	29.5530643377
UIO-66	0.05	0.8500000000000001	0.09999999999999988	107.92955408819999	12.053160206700001	133.748246124	30.359980937	10.0910471048	2.7806319667	251.768847317	45.1937731104
UIO-66	0.05	0.875	0.07499999999999996	120.999696641	6.776304285499999	121.58407950790001	18.9424533979	8.693151378	0.9720693667	251.27692752689998	26.6908270501
UIO-66	0.05	0.9	0.04999999999999993	115.0167678166	8.373124754	132.69668139540002	23.9589341	5.2493073072000005	2.5748979271	252.96275651919998	34.9069567811
UIO-66	0.05	0.925	0.024999999999999908	110.1961160891	15.045788567999999	134.6140736195	10.584962455	2.4397275	1.1550537013	247.2499172086	26.785804724299997
UIO-66	0.05	0.95	0.0	121.2876299065	5.5979047898	118.0964371376	29.5457976035	0.0	0.0	239.3840670441	35.143702393299996
UIO-66	0.0	0.30000000000000004	0.7	0.0	0.0	87.2429683544	12.1089622903	149.0338526616	26.079699494899998	236.27682101599999	38.1886617852
UIO-66	0.07500000000000001	0.0	0.925	140.51954434	1.5453951059	0.0	0.0	102.074775844	19.0268705373	242.59432018400003	20.572265643199998
UIO-66	0.07500000000000001	0.025	0.9	141.5629982725	9.04352599	4.8072689137	0.4617558273	106.243725096	18.4001897865	252.6139922822	27.905471603800002
UIO-66	0.07500000000000001	0.05	0.875	140.0803447253	8.7950620618	9.1185626392	2.8129265612	103.1178242366	18.649590196800002	252.3167316011	30.2575788198
UIO-66	0.07500000000000001	0.07500000000000001	0.85	142.8084110305	9.5421262701	16.557784923099998	4.8340776807	91.9431747581	10.6582073507	251.30937071169998	25.0344113015
UIO-66	0.07500000000000001	0.1	0.825	137.3632279949	4.7436736176	22.896777701100003	5.3097047231	95.3545756441	11.4273945876	255.6145813401	21.4807729283
UIO-66	0.07500000000000001	0.125	0.8	140.6967652372	14.372759441	23.035066776500003	6.9022539306	84.0306875153	16.6696677332	247.762519529	37.9446811048
UIO-66	0.07500000000000001	0.15000000000000002	0.7749999999999999	130.5177159935	8.6678203356	24.327522152600004	3.4717226456	98.55266258969999	16.3108582461	253.39790073580002	28.4504012273
UIO-66	0.07500000000000001	0.17500000000000002	0.75	114.461583816	11.184552411099999	45.30569101020001	9.0221733612	90.7180389906	5.292965785	250.48531381680002	25.4996915573
UIO-66	0.07500000000000001	0.2	0.725	132.967176449	9.6409116901	39.5222877726	8.0021439314	79.0003717058	5.971720211699999	251.4898359274	23.614775833200003
UIO-66	0.07500000000000001	0.225	0.7	127.9352384803	13.3650425972	42.105981905300006	9.047243467100001	74.9324018667	14.0724113101	244.9736222523	36.4846973744
UIO-66	0.0	0.325	0.675	0.0	0.0	84.14910514	22.2776279915	141.17124681549998	3.3822103833	225.3203519555	25.6598383748
UIO-66	0.07500000000000001	0.25	0.675	119.9570537882	8.4634615172	54.2251336025	5.8984559679999995	76.0967066626	8.222361652	250.2788940533	22.5842791372
UIO-66	0.07500000000000001	0.275	0.6499999999999999	134.8326595773	12.651178381300001	50.92687832359999	10.6684508158	66.7615857646	12.2672891258	252.5211236655	35.5869183229
UIO-66	0.07500000000000001	0.30000000000000004	0.625	132.0474121588	7.1499534226999995	54.8662920429	27.7563064273	61.1606754417	8.6382647401	248.0743796434	43.5445245901
UIO-66	0.07500000000000001	0.325	0.6	134.6424614062	10.6084057002	55.4218815833	3.9074636	58.2371389478	9.859832092000001	248.3014819373	24.375701392199996
UIO-66	0.07500000000000001	0.35000000000000003	0.575	129.1745681412	10.832929536099998	62.4279873495	13.7630677705	61.7624965205	12.9842016472	253.3650520112	37.5801989538
UIO-66	0.07500000000000001	0.375	0.55	128.8404033373	7.9474651387	65.6954216028	9.7367144182	57.029846931899996	11.3981073105	251.565671872	29.082286867399997
UIO-66	0.07500000000000001	0.4	0.5249999999999999	122.81083743469999	18.4256368421	74.4035779538	9.8297274071	56.3728724389	4.7717962734	253.58728782740002	33.0271605226
UIO-66	0.07500000000000001	0.425	0.5	121.69479187620001	3.4324573331	75.4267548957	18.569594219000003	53.0482570724	5.388356902999999	250.1698038443	27.3904084551
UIO-66	0.07500000000000001	0.45	0.475	137.48286223899999	7.3642870061000005	70.3781897947	15.5090047586	42.6425110746	9.3096180333	250.50356310830003	32.182909798000004
UIO-66	0.07500000000000001	0.475	0.45	123.7658836884	15.3449170614	74.1598485276	16.5559515689	50.8327930876	10.4609043722	248.7585253036	42.3617730025
UIO-66	0.0	0.35000000000000003	0.6499999999999999	0.0	0.0	101.66477509549999	32.6163209704	125.95174326709999	10.6759636737	227.61651836259998	43.2922846441
UIO-66	0.07500000000000001	0.5	0.425	131.61956765870002	6.1365564805999995	83.0894296152	27.2512346502	37.531087303	12.4056070151	252.2400845769	45.7933981459
UIO-66	0.07500000000000001	0.525	0.3999999999999999	124.8081210014	2.4924749927	85.6560910758	20.5020207397	41.760461986799996	9.8215251913	252.22467406400003	32.8160209237
UIO-66	0.07500000000000001	0.55	0.375	119.84025832280001	11.363630038800002	104.3441766235	26.3572845175	31.8823232825	6.6809798662999995	256.0667582288	44.4018944226
UIO-66	0.07500000000000001	0.5750000000000001	0.3499999999999999	141.50054514159999	8.1666375791	85.06278633310001	17.417598359	29.8615184067	7.7612460251	256.4248498814	33.3454819632
UIO-66	0.07500000000000001	0.6000000000000001	0.325	128.365921759	9.3013666748	94.4250783984	27.484696056500002	31.8385249829	6.0720501716	254.6295251403	42.8581129029
UIO-66	0.07500000000000001	0.625	0.30000000000000004	131.5238602634	5.698536325599999	93.93761954620001	23.9061353833	27.5101985854	6.044916832899999	252.971678395	35.6495885418
UIO-66	0.07500000000000001	0.65	0.2749999999999999	114.7758771692	5.3170503801999995	109.4178851928	21.4928061465	23.512792673299998	6.599111672699999	247.7065550353	33.4089681994
UIO-66	0.07500000000000001	0.675	0.25	138.5153665965	9.1642890379	94.2596181557	28.5778555339	19.7084237109	4.6611967476	252.4834084631	42.4033413194
UIO-66	0.07500000000000001	0.7000000000000001	0.22499999999999987	124.23306555010001	6.224712972000001	107.5049539066	29.5378513134	15.9279815974	6.7247478604	247.6660010541	42.4873121458
UIO-66	0.07500000000000001	0.7250000000000001	0.2	129.9613153735	6.6921864475	103.69004090920001	16.1948644687	16.1652223865	6.613149216699999	249.81657866919997	29.500200132899998
UIO-66	0.0	0.375	0.625	0.0	0.0	96.73300546	19.5525392169	136.5748586033	10.5910793061	233.30786406330003	30.143618523
UIO-66	0.07500000000000001	0.75	0.17500000000000004	132.1556912882	9.7664209884	103.0229279209	22.525737654	14.620115708499998	2.8785847649000003	249.79873491759997	35.1707434073
UIO-66	0.07500000000000001	0.775	0.1499999999999999	128.6076234861	7.1678931949	107.32611085020001	16.1757761364	15.508247893499998	3.0922333698	251.4419822298	26.4359027011
UIO-66	0.07500000000000001	0.8	0.125	122.0828934749	4.6573591643	115.5277479778	20.5886952535	12.3284102394	3.5265020001	249.93905169209998	28.7725564179
UIO-66	0.07500000000000001	0.8250000000000001	0.09999999999999988	132.7169583859	16.2314041246	110.3368384034	12.407921756199999	8.6757131661	2.9111822675	251.7295099554	31.5505081483
UIO-66	0.07500000000000001	0.8500000000000001	0.07499999999999996	127.24622634219999	10.3690523196	116.95240933219999	26.210233487300002	5.750554512999999	1.0589979341	249.9491901874	37.638283741
UIO-66	0.07500000000000001	0.875	0.05000000000000005	121.8484914644	11.908109574200001	121.54311998709998	31.7096534209	4.6576247237	1.4883211593999999	248.0492361752	45.106084154499996
UIO-66	0.07500000000000001	0.9	0.024999999999999908	126.991952881	8.793301148300001	122.15102416299999	23.060695089499998	1.8971152334999999	0.6688805997	251.0400922775	32.5228768375
UIO-66	0.07500000000000001	0.925	0.0	126.1269364652	3.9232903036	117.3173951616	23.4503385571	0.0	0.0	243.4443316268	27.373628860700002
UIO-66	0.1	0.0	0.9	161.4445874825	5.4786159611	0.0	0.0	83.18189269199999	18.2137101217	244.62648017450002	23.6923260828
UIO-66	0.1	0.025	0.875	150.18883004190002	7.6631558899000005	5.0509983398000005	2.766324949	95.19844281700001	19.8631301098	250.4382711987	30.2926109487
UIO-66	0.0	0.4	0.6	0.0	0.0	97.65763622790001	18.2409674288	134.3979209005	12.4511595629	232.0555571284	30.6921269917
UIO-66	0.1	0.05	0.85	145.50930616850002	13.331643316900001	9.3440427738	1.8759999869	95.04879862700001	10.2939841822	249.9021475693	25.501627486
UIO-66	0.1	0.07500000000000001	0.825	144.00313131229998	19.7680925357	16.311622258099998	4.4764031711	92.2704453852	13.8416225609	252.58519895560002	38.0861182677
UIO-66	0.1	0.1	0.8	144.2492939773	5.3754699466	17.8145527959	4.9202068666	88.2957497024	11.3778963293	250.3595964756	21.6735731425
UIO-66	0.1	0.125	0.775	146.9416727792	8.7745663574	23.6750085975	7.0393115751	84.2521122519	9.3904396355	254.8687936286	25.204317568
UIO-66	0.1	0.15000000000000002	0.75	144.90586293049998	10.510952079700001	28.641654656700002	6.1329266247000005	78.2829717811	14.5224831935	251.83048936830002	31.1663618979
UIO-66	0.1	0.17500000000000002	0.725	158.1353826288	18.339271539600002	26.7019577431	5.9785341831	69.2301065911	6.9276510215	254.06744696299998	31.245456744200002
UIO-66	0.1	0.2	0.7	140.2551323836	15.7705061753	34.4319520711	5.4036260972	76.9065696642	4.4364646608	251.5936541189	25.6105969333
UIO-66	0.1	0.225	0.675	136.387093671	18.1956243504	39.4517238456	8.3240195426	72.7676303582	14.373807046600001	248.60644787479998	40.8934509396
UIO-66	0.1	0.25	0.65	137.7294304438	5.6281667587	51.3591837616	5.9582559277	65.8977859682	10.1069462437	254.9864001736	21.693368930100004
UIO-66	0.1	0.275	0.625	143.21232868180002	7.7019836386	44.085827260200006	5.262608978	65.9200906578	9.5495914567	253.21824659979998	22.5141840733
UIO-66	0.0	0.425	0.575	0.0	0.0	104.3015949434	19.002110836900002	129.1717293625	6.884175401	233.4733243059	25.8862862379
UIO-66	0.1	0.30000000000000004	0.6	140.363411513	6.1249084515	46.7761783631	12.100405939100002	63.3400463834	11.524234321	250.4796362595	29.7495487116
UIO-66	0.1	0.325	0.575	142.9308840533	10.5498465416	54.543887893500006	4.2120135495	54.2072898508	13.5652916522	251.68206179759997	28.3271517433
