MOF,O2_comp,CO2_comp,H2_comp,CH4_comp,H2S_comp,N2_comp,O2_mass,O2_error,CO2_mass,CO2_error,H2_mass,H2_error,CH4_mass,CH4_error,H2S_mass,H2S_error,N2_mass,N2_error,total_mass,total_error
NU-125_v2_EQeq,0.1,0.08,0.0,0.03,0.02,0.77,1.7548028612,0.0964379574,18.6358205076,1.3036418428,0.0000000000,0.0000000000,0.7009790811,0.1186616533,8.9818129120,0.9739211926,9.7979381773,0.3487942300,39.8713535392,2.8414568761
NU-125_v2_EQeq,0.1,0.08,0.0,0.03,0.03,0.76,1.7129720421,0.2191232306,18.6775210319,1.6575106636,0.0000000000,0.0000000000,0.7229993663,0.0695078207,13.6910273207,0.6360894348,9.4353906611,0.2149747121,44.2399104221,2.7972058618
NU-125_v2_EQeq,0.1,0.08,0.01,0.0,0.0,0.81,1.7527113203,0.1569910139,18.4330696827,1.9738678820,0.0027670477,0.0010704572,0.0000000000,0.0000000000,0.0000000000,0.0000000000,10.4378894748,0.5226800379,30.6264375255,2.6546093910
NU-125_v2_EQeq,0.1,0.08,0.01,0.0,0.01,0.8,1.7474824679,0.1010454585,18.5941199834,0.6771137324,0.0017788164,0.0021490087,0.0000000000,0.0000000000,4.7649052130,0.8156480592,10.4452136670,0.7596179627,35.5535001477,2.3555742215
NU-125_v2_EQeq,0.1,0.08,0.01,0.0,0.02,0.79,1.6680039116,0.2103012968,18.0074367452,0.8553368074,0.0021741089,0.0017480494,0.0000000000,0.0000000000,8.4583193519,0.6156653045,9.9068855369,0.6593908898,38.0428196545,2.3424423479
NU-125_v2_EQeq,0.1,0.08,0.01,0.0,0.03,0.78,1.7265670583,0.1097610723,18.0333198292,1.2427541244,0.0009223492,0.0006455100,0.0000000000,0.0000000000,13.5595970226,1.5428407374,9.9554083106,0.4013463549,43.2758145699,3.2973477990
NU-125_v2_EQeq,0.1,0.08,0.01,0.01,0.0,0.8,1.6680039116,0.0960743823,18.6228789656,0.6822852619,0.0017788164,0.0006718681,0.2380287979,0.0442895300,0.0000000000,0.0000000000,10.2392207601,0.3924769406,30.7699112516,1.2157979829
NU-125_v2_EQeq,0.1,0.08,0.01,0.01,0.01,0.79,1.7579401727,0.1063194271,18.3079681098,1.1411048113,0.0019105806,0.0009682650,0.2181056827,0.0410692078,4.7749295577,0.5659501091,10.2538691446,0.5476027736,35.3147232481,2.4030145939
NU-125_v2_EQeq,0.1,0.0,0.0,0.03,0.03,0.84,1.7474824679,0.3282720003,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7418738966,0.0945472538,14.3793656614,1.5656942464,11.0576992436,0.5715275630,27.9264212695,2.5600410635
NU-125_v2_EQeq,0.1,0.08,0.01,0.01,0.02,0.78,1.7401620745,0.1756645392,18.7206595053,1.1199916013,0.0022399910,0.0007683106,0.2217757302,0.0268568804,9.5621110924,0.4702889756,9.6615250967,0.5553119291,39.9084734901,2.3488822362
NU-125_v2_EQeq,0.1,0.08,0.01,0.01,0.03,0.77,1.7297043698,0.1449665730,17.4710817259,1.7725894484,0.0020423448,0.0020582223,0.2464174780,0.0241402399,12.8890797393,0.6703137313,9.9581548826,0.3745198330,42.2964805404,2.9885880479
NU-125_v2_EQeq,0.1,0.08,0.01,0.02,0.0,0.79,1.7202924355,0.1577693028,19.1678616795,0.9918305475,0.0014494060,0.0010704572,0.5164281188,0.1033800597,0.0000000000,0.0000000000,10.2163326593,0.5385398423,31.6223642991,1.7925902095
NU-125_v2_EQeq,0.1,0.08,0.01,0.02,0.01,0.78,1.7652605660,0.2170169026,18.5236604768,0.5579242559,0.0024376373,0.0003227550,0.5101366087,0.0931766766,4.4641748699,0.7048123987,10.0057621322,0.3521805683,35.2714322909,1.9254335571
NU-125_v2_EQeq,0.1,0.08,0.01,0.02,0.02,0.77,1.6732327640,0.1058245318,17.7730510397,0.6342643418,0.0017129343,0.0018352626,0.4760575958,0.0789299688,8.8203095796,1.9607390084,9.7301893990,0.9119207616,38.4745533124,3.6935138750
NU-125_v2_EQeq,0.1,0.08,0.01,0.02,0.03,0.76,1.6481342725,0.2076216566,17.8420725971,0.9569699896,0.0017129343,0.0008740247,0.4923106635,0.0678265120,13.5540279422,1.9848990171,9.5571553572,0.8587088332,43.0954137668,4.0769000332
NU-125_v2_EQeq,0.1,0.08,0.01,0.03,0.0,0.78,1.7234297469,0.1187951074,19.0384462593,2.1140688545,0.0017788164,0.0008936681,0.7371552640,0.1300160850,0.0000000000,0.0000000000,10.3747183166,0.6577669035,31.8755284032,3.0215406185
NU-125_v2_EQeq,0.1,0.08,0.01,0.03,0.01,0.77,1.7767640413,0.1766578439,19.0758329363,2.3266247718,0.0021741089,0.0005270567,0.6962604485,0.0670274701,4.5777841106,0.5461561711,9.8061778935,0.6680540648,35.9349935391,3.7850473784
NU-125_v2_EQeq,0.1,0.08,0.01,0.03,0.02,0.76,1.7077431897,0.2828301675,19.4468238075,1.3821496265,0.0027011656,0.0008740247,0.6773859183,0.0878936943,8.8570655104,1.5516957210,9.9810429834,0.3503288323,40.6727625749,3.6557720663
NU-125_v2_EQeq,0.1,0.08,0.01,0.03,0.03,0.75,1.6690496821,0.1834604540,18.0822100990,1.5745378640,0.0025694015,0.0013437362,0.6878717684,0.0268568804,13.5718489996,2.0952535532,9.4683495262,0.3556949305,43.4818994768,4.2371474183
NU-125_v2_EQeq,0.1,0.0,0.01,0.0,0.0,0.89,1.8531052861,0.2150934047,0.0000000000,0.0000000000,0.0023058731,0.0014434043,0.0000000000,0.0000000000,0.0000000000,0.0000000000,11.9878716589,1.5130197321,13.8432828181,1.7295565411
NU-125_v2_EQeq,0.1,0.08,0.02,0.0,0.0,0.8,1.6617292887,0.1907090853,19.7114064443,1.0374222375,0.0040188074,0.0015252806,0.0000000000,0.0000000000,0.0000000000,0.0000000000,10.5266953058,1.1228759477,31.9038498462,2.3525325511
NU-125_v2_EQeq,0.1,0.08,0.02,0.0,0.01,0.79,1.7244755174,0.0883413025,19.9601716409,1.0080177129,0.0047435104,0.0021490087,0.0000000000,0.0000000000,4.9631644762,0.7224331680,10.2071774190,0.7461919627,36.8597325639,2.5671331548
NU-125_v2_EQeq,0.1,0.08,0.02,0.0,0.02,0.78,1.6868277802,0.2387107130,18.5768645940,1.8922099085,0.0038211612,0.0024509554,0.0000000000,0.0000000000,8.7590496949,1.0304671034,10.2621088609,0.7736129304,39.2886720912,3.9374516107
