MOF,O2_comp,CO2_comp,H2_comp,CH4_comp,H2S_comp,N2_comp,O2_mass,O2_error,CO2_mass,CO2_error,H2_mass,H2_error,CH4_mass,CH4_error,H2S_mass,H2S_error,N2_mass,N2_error,total_mass,total_error
MOF-177_EQeq,0.1,0.08,0.0,0.01,0.02,0.79,1.3252204005,0.0890681283,7.2097690216,0.8376425357,0.0000000000,0.0000000000,0.1318310395,0.0421965698,2.3035739573,0.4806004457,8.1379571041,0.6424491279,19.1083515230,2.0919568074
MOF-177_EQeq,0.1,0.08,0.0,0.01,0.03,0.78,1.2677535500,0.2767926237,6.8242582901,0.3914072113,0.0000000000,0.0000000000,0.1414346251,0.0250613427,3.6612359031,1.0479073580,7.8056089122,0.4901320218,19.7002912805,2.2313005575
MOF-177_EQeq,0.1,0.08,0.0,0.02,0.0,0.8,1.2729778092,0.1064404960,6.9511655496,0.8842851011,0.0000000000,0.0000000000,0.2680273452,0.0262497363,0.0000000000,0.0000000000,8.1593005660,0.5065121770,16.6514712700,1.5234875104
MOF-177_EQeq,0.1,0.08,0.0,0.02,0.01,0.79,1.3269618202,0.3204590816,6.9559545028,0.7051316858,0.0000000000,0.0000000000,0.2558045998,0.0501834770,1.2426687209,0.1196264540,8.0876475154,0.2418199601,17.8690371591,1.4372206585
MOF-177_EQeq,0.1,0.08,0.0,0.02,0.02,0.78,1.2573050317,0.1324395200,7.2097690216,0.7318485717,0.0000000000,0.0000000000,0.2610429192,0.0278283581,2.4185671822,0.5097503771,7.7446275925,0.5989688152,18.8913117472,2.0008356421
MOF-177_EQeq,0.1,0.08,0.0,0.02,0.03,0.77,1.3269618202,0.1214507607,6.9775047921,1.1628777485,0.0000000000,0.0000000000,0.2357243752,0.0458664651,3.6371244205,0.5782950010,8.2629688094,0.7197991742,20.4402842174,2.6282891495
MOF-177_EQeq,0.1,0.0,0.0,0.03,0.02,0.85,1.3339274991,0.2468642873,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4295421948,0.1170803134,2.4649354181,1.3040950722,8.3803578497,0.7527303485,12.6087629617,2.4207700214
MOF-177_EQeq,0.1,0.08,0.0,0.03,0.0,0.79,1.3078062034,0.1608905955,6.7763687583,0.2627385746,0.0000000000,0.0000000000,0.3850164795,0.0942574092,0.0000000000,0.0000000000,7.9931264700,0.5972278942,16.4623179112,1.1151144735
MOF-177_EQeq,0.1,0.08,0.0,0.03,0.01,0.78,1.2764606486,0.1613423248,7.0134219410,0.6379202023,0.0000000000,0.0000000000,0.3981122782,0.0418337379,1.2853274979,0.3429193597,8.0205680639,0.7596642493,17.9938904296,1.9436798740
MOF-177_EQeq,0.1,0.08,0.0,0.03,0.02,0.77,1.3426345976,0.1471061660,6.7524239924,0.4218630151,0.0000000000,0.0000000000,0.3920009055,0.0647238125,2.3647800286,0.5354999285,7.7278577297,0.5183770869,18.5796972538,1.6875700090
MOF-177_EQeq,0.1,0.08,0.0,0.03,0.03,0.76,1.2851677471,0.1722509707,7.0565225197,0.4346090451,0.0000000000,0.0000000000,0.3885086925,0.0441733882,3.6315602322,0.6517045240,8.0861229825,0.4655595273,20.4478821740,1.7682974553
MOF-177_EQeq,0.1,0.08,0.01,0.0,0.0,0.81,1.3461174370,0.2379062322,6.8793312518,0.6386747338,0.0030717967,0.0034413749,0.0000000000,0.0000000000,0.0000000000,0.0000000000,8.1044173783,0.4426294545,16.3329378638,1.3226517954
MOF-177_EQeq,0.1,0.08,0.01,0.0,0.01,0.8,1.2642707106,0.1767004775,7.1738518727,2.0508464871,0.0023038475,0.0008209722,0.0000000000,0.0000000000,1.4281416643,0.7717101029,8.3681615857,0.6696431984,18.2367296808,3.6697212381
MOF-177_EQeq,0.1,0.08,0.01,0.0,0.02,0.79,1.3530831159,0.0821241424,6.9367986900,0.8583589092,0.0025232616,0.0022590059,0.0000000000,0.0000000000,2.2683340980,0.3588026702,8.4642071641,0.5281665283,19.0249463296,1.8297112560
MOF-177_EQeq,0.1,0.08,0.01,0.0,0.03,0.78,1.2451150938,0.2509095148,6.8505975327,0.3648415512,0.0021941405,0.0012017803,0.0000000000,0.0000000000,3.4479420182,0.2554952910,8.1166136423,0.5919744131,19.6624624275,1.4644225504
MOF-177_EQeq,0.1,0.08,0.01,0.01,0.0,0.8,1.2033210207,0.1718279223,7.2385027407,0.4247345232,0.0026329686,0.0012793928,0.1414346251,0.0384936293,0.0000000000,0.0000000000,8.2050365557,0.4282391190,16.7909279108,1.0645745866
MOF-177_EQeq,0.1,0.08,0.01,0.01,0.01,0.79,1.2921334260,0.1158273220,7.0253943240,1.1623845982,0.0035106248,0.0022590059,0.1484190511,0.0382552763,1.1573511669,0.2296871051,8.2370517485,0.4034226563,17.8638603413,1.9518359638
MOF-177_EQeq,0.1,0.0,0.0,0.03,0.03,0.84,1.3356689188,0.2044518705,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3911278522,0.0224970083,3.8634014115,0.9085978568,8.7736873612,0.5248469144,14.3638855437,1.6603936500
MOF-177_EQeq,0.1,0.08,0.01,0.01,0.02,0.78,1.2555636120,0.2752104363,7.2959701790,0.4783202990,0.0027426756,0.0018357497,0.1239735603,0.0210982849,2.2664793686,0.5423426767,7.6226649533,0.5224501379,18.5673943488,1.8412575845
MOF-177_EQeq,0.1,0.08,0.01,0.01,0.03,0.77,1.2903920063,0.1377373827,6.7548184689,0.7193638958,0.0019747265,0.0014881385,0.1178621876,0.0292179499,3.4071379706,0.4502983611,8.0251416628,0.5207926086,19.5973270227,1.8588983366
MOF-177_EQeq,0.1,0.08,0.01,0.02,0.0,0.79,1.3217375611,0.2451384596,7.0373667069,0.3086553704,0.0020844335,0.0010749049,0.2601698660,0.0746141355,0.0000000000,0.0000000000,8.2202818856,0.7471518283,16.8416404531,1.3766346987
