MOF,O2_comp,CO2_comp,H2_comp,CH4_comp,H2S_comp,N2_comp,O2_mass,O2_error,CO2_mass,CO2_error,H2_mass,H2_error,CH4_mass,CH4_error,H2S_mass,H2S_error,N2_mass,N2_error,total_mass,total_error
IRMOF-1_v2_EQeq,0.1,0.08,0.01,0.0,0.02,0.79,1.0571304979,0.1235868902,6.1035624951,1.0240460925,0.0019635702,0.0024490023,0.0000000000,0.0000000000,1.8617714468,0.3233703732,6.0894509491,0.3188625366,15.1138789591,1.7923148948
IRMOF-1_v2_EQeq,0.1,0.08,0.01,0.0,0.03,0.78,0.8986907918,0.1535747811,5.8571342844,0.7765690305,0.0019635702,0.0024490023,0.0000000000,0.0000000000,2.9572565775,0.5918753068,5.9712091831,0.6586249694,15.6862544070,2.1830930901
IRMOF-1_v2_EQeq,0.1,0.08,0.01,0.01,0.0,0.8,0.9402487475,0.2207613604,5.9928483715,0.7618441207,0.0016363085,0.0029271176,0.0963614188,0.0312523521,0.0000000000,0.0000000000,5.9598397825,0.5565016726,12.9909346288,1.5732866234
IRMOF-1_v2_EQeq,0.1,0.08,0.01,0.01,0.01,0.79,0.8779118140,0.1310064706,6.1071339185,1.0799644052,0.0008181542,0.0014635588,0.0963614188,0.0645335635,0.9848300670,0.3223273932,5.9075405399,0.5293014640,13.9745959124,2.1285968553
IRMOF-1_v2_EQeq,0.1,0.0,0.0,0.03,0.03,0.84,0.9246645141,0.1809978983,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2877820751,0.0623960946,2.5035708163,0.2771903824,6.4396284869,0.6873891072,10.1556458924,1.2079734825
IRMOF-1_v2_EQeq,0.1,0.08,0.01,0.01,0.02,0.78,1.0363515201,0.2520388086,6.3535621292,0.6867541572,0.0009817851,0.0016032483,0.0833396055,0.0323192908,1.9834920169,0.3787411025,5.6960696891,0.4946407954,15.1537967459,1.8460974028
IRMOF-1_v2_EQeq,0.1,0.08,0.01,0.01,0.03,0.77,0.8960934196,0.3172623996,6.3821335160,1.1746888609,0.0021272010,0.0008016242,0.1184985015,0.0853500151,2.8604333967,0.4361410063,5.4845988384,0.4909896405,15.7438848732,2.5052335466
IRMOF-1_v2_EQeq,0.1,0.08,0.01,0.02,0.0,0.79,0.8883013029,0.1121391209,5.9928483715,0.8694343877,0.0014726776,0.0029994030,0.2083490137,0.0419940862,0.0000000000,0.0000000000,5.7779293733,0.5833555123,12.8689007390,1.6099225101
IRMOF-1_v2_EQeq,0.1,0.08,0.01,0.02,0.01,0.78,0.8675223251,0.1694474364,5.9857055248,0.4542311379,0.0016363085,0.0023140896,0.1849097496,0.0543806891,0.9488671712,0.2370705653,5.8938972592,0.4993432450,13.8825383384,1.4167871633
IRMOF-1_v2_EQeq,0.1,0.08,0.01,0.02,0.02,0.77,0.8986907918,0.0905734646,6.6035617633,1.0978627392,0.0014726776,0.0019082472,0.2070468323,0.0660913154,1.8285749277,0.2131367049,5.6869741687,0.6182947224,15.2263211614,2.0878671937
IRMOF-1_v2_EQeq,0.1,0.08,0.01,0.02,0.03,0.76,0.9714172143,0.1718196578,6.6607045368,0.8502688207,0.0016363085,0.0014635588,0.1914206563,0.0391521559,2.8410687606,0.4007333066,5.8484196569,0.3521505505,16.5146671334,1.8155880503
