MOF	gas_kh	gas_r2	gas_rmse	air_kh	air_r2	air_rmse	kh	pure_air_mass	max_comp
XALTIP	12.847313949949346	0.997349156853525	0.008661111864857882	-8.063764595513154	0.4265830548402497	0.1396631824662249	4.783549354436191	9.048501631563473	0.05
GUPBEZ	12.403149670624183	0.99846407715713	0.006372457873124625	-7.152187746367523	0.4054733691275232	0.12599118540720639	5.25096192425666	6.4569018355259695	0.05
OFEREX	21.793758982573852	0.9989137166707752	0.009424322995191888	-21.974944156526334	0.6494820735615943	0.20379101801353652	-0.1811851739524819	18.560722957210235	0.05
SICZOV	18.55596115093111	0.9986101415164105	0.009030861195909963	-13.215801808803286	0.4239221631962473	0.2141511619023881	5.340159342127825	13.49563263312169	0.05
BIWSEG	16.756651911302054	0.9957624993782899	0.014158811167195758	-14.294518154013819	0.338902512405276	0.2492135996136169	2.4621337572882354	12.740627481263033	0.05
AMIMAL	26.785751602600488	0.9982838656143861	0.01470142070795534	-20.03946938918509	0.4397059433292466	0.2944413678401179	6.746282213415398	20.30378023051131	0.05
ALUKIC	17.94708608215358	0.9962796427567523	0.014440203212481982	-10.304696032222813	0.20776657912914398	0.26622348717772715	7.642390049930766	14.37459396308692	0.05
NU-125	20.667308404360487	0.9975575350742218	0.01326461817499729	-17.095948249417	0.40449514537460696	0.2570667276862657	3.5713601549434877	14.613132402445054	0.05
WUNSEE01	71.5577819258304	0.9995083475396453	0.02093175888986547	-28.39564417175945	0.2456728190766876	0.7932028315117956	43.16213775407095	37.68242562867452	0.05
RAVXIX	23.591732387511687	0.99722103327695	0.016338750170304932	-15.920344478175675	0.27744086269691515	0.30820385058925887	7.671387909336012	15.305400636772458	0.05
NU-100	19.022002427133213	0.9985241368397683	0.009549523991887882	-11.800619612610811	0.4803687435491505	0.17794879066877228	7.221382814522402	12.891479156582362	0.05
KIFJUF	21.478116264626166	0.9967969224131599	0.01599562241874319	-23.12413568754497	0.46925633006990897	0.311837611036097	-1.6460194229188048	19.54452918990376	0.05
SAPBIW	13.715817582691265	0.9981078920670924	0.007774043249492412	-10.67706640807545	0.40076886070967666	0.16442937876941732	3.0387511746158147	9.391822947010782	0.05
UKUPUL	11.240346931792207	0.9981032068062705	0.006418892432503214	-28.143696914501486	0.12160804101632383	0.6799651734054769	-16.90334998270928	24.1936830627141	0.05
RAVXET	15.455768620393998	0.9956882678750697	0.01350181825942104	-11.0422135280588	0.3533193530093288	0.21631001505176284	4.413555092335198	10.942467439825556	0.05
KINKAV	20.36795392889493	0.9977524060943518	0.012591465039927916	-11.819795561203412	0.14405813498319975	0.3328232194875939	8.548158367691519	10.281209599630998	0.05
XAFXOT	10.470542142276368	0.9973138861383187	0.007202442546904236	-9.66250347964067	0.18918209849840772	0.2821452373575064	0.808038662635699	13.126118989832198	0.05
VETTIZ	37.03211454689579	0.9985821945516686	0.018203335889150834	-31.66190235599627	0.3980300160624176	0.46596440658792737	5.370212190899522	25.857793590915062	0.05
HIFTOG	21.41701510209281	0.9987939084601022	0.009777695376366956	-12.711733965519663	0.20379393871981388	0.3302440140451812	8.705281136573149	13.347929319437808	0.05
RUTNOK									
HABQUY	19.008094233066082	0.993722788990604	0.019727706804902403	-14.3836024480155	0.39042367666358246	0.22042138906560185	4.624491785050582	13.724538630367784	0.05
NAYZOE	18.120904580163664	0.9970365520276372	0.013099153083780605	-10.619167911903935	0.45576658692481564	0.17967546419988067	7.5017366682597295	12.871672571118912	0.05
XUKYEI	17.140728327235546	0.9960446534132693	0.013928261261069502	-9.513951945246756	0.2886525619148128	0.2014257534891053	7.62677638198879	11.760458859993566	0.05
AXUHEH	31.112655158376576	0.9990099913166527	0.012843875786508134	-21.89358308352728	0.3871694399489043	0.34651453555647205	9.219072074849297	20.82803034049964	0.05
MOF-177	15.173010089511575	0.9932969858206444	0.016337620481239084	-9.934172256135334	0.3715060858450018	0.19268003612521997	5.238837833376241	10.769435217131315	0.05
XAHQAA	21.630135689541408	0.9929454934630363	0.024042589536833796	-11.239109859336258	0.32305064037716713	0.26074534381009107	10.39102583020515	15.305526699457936	0.05
TOHSAL	31.168050869840563	0.9990215320298912	0.012855958860853136	-21.7069167720081	0.3977331615529951	0.32817547535750613	9.461134097832463	21.285108242505824	0.05
